{'rar': 0.1, 'alpha': 0.1, 'gamma': 0.1, 'epochs': 20, 'ticker': 'AMZN', 'perf': 0.9967950497192546}
{'rar': 0.1, 'alpha': 0.1, 'gamma': 0.2, 'epochs': 20, 'ticker': 'AMZN', 'perf': 1.0013620911371133}
{'rar': 0.1, 'alpha': 0.1, 'gamma': 0.2, 'epochs': 20, 'ticker': 'DJIA', 'perf': 1.0004880590114391}
{'rar': 0.1, 'alpha': 0.1, 'gamma': 0.2, 'epochs': 20, 'ticker': 'QQQ', 'perf': 1.0002871974919416}
{'rar': 0.1, 'alpha': 0.1, 'gamma': 0.2, 'epochs': 20, 'ticker': 'SPY', 'perf': 1.0010264617850366}
{'rar': 0.1, 'alpha': 0.1, 'gamma': 0.2, 'epochs': 20, 'ticker': 'VGT', 'perf': 1.0008943512361852}
{'rar': 0.1, 'alpha': 0.1, 'gamma': 0.2, 'epochs': 20, 'ticker': 'XLI', 'perf': 1.0008459825188571}
{'rar': 0.1, 'alpha': 0.1, 'gamma': 0.2, 'epochs': 40, 'ticker': 'AAPL', 'perf': 1.0007898365975747}
{'rar': 0.1, 'alpha': 0.1, 'gamma': 0.2, 'epochs': 40, 'ticker': 'AMZN', 'perf': 0.9950346952547074}
{'rar': 0.1, 'alpha': 0.1, 'gamma': 0.2, 'epochs': 40, 'ticker': 'DJIA', 'perf': 1.0009111675027842}
{'rar': 0.1, 'alpha': 0.1, 'gamma': 0.2, 'epochs': 40, 'ticker': 'QQQ', 'perf': 1.001323337062405}
{'rar': 0.1, 'alpha': 0.1, 'gamma': 0.2, 'epochs': 40, 'ticker': 'SPY', 'perf': 1.0011946641601255}
{'rar': 0.1, 'alpha': 0.1, 'gamma': 0.2, 'epochs': 40, 'ticker': 'VGT', 'perf': 0.9993724109759784}
{'rar': 0.1, 'alpha': 0.1, 'gamma': 0.2, 'epochs': 40, 'ticker': 'XLI', 'perf': 1.000985812948024}
{'rar': 0.1, 'alpha': 0.1, 'gamma': 0.2, 'epochs': 60, 'ticker': 'AAPL', 'perf': 1.002084350803137}
{'rar': 0.1, 'alpha': 0.1, 'gamma': 0.2, 'epochs': 60, 'ticker': 'AMZN', 'perf': 1.0001578793241748}
{'rar': 0.1, 'alpha': 0.1, 'gamma': 0.2, 'epochs': 60, 'ticker': 'DJIA', 'perf': 0.9998484603367165}
{'rar': 0.1, 'alpha': 0.1, 'gamma': 0.2, 'epochs': 60, 'ticker': 'QQQ', 'perf': 1.001539254745723}
{'rar': 0.1, 'alpha': 0.1, 'gamma': 0.2, 'epochs': 60, 'ticker': 'SPY', 'perf': 1.0015073792835767}
{'rar': 0.1, 'alpha': 0.1, 'gamma': 0.2, 'epochs': 60, 'ticker': 'VGT', 'perf': 0.9992629409741807}
{'rar': 0.1, 'alpha': 0.1, 'gamma': 0.2, 'epochs': 60, 'ticker': 'XLI', 'perf': 1.000103183664302}
{'rar': 0.1, 'alpha': 0.1, 'gamma': 0.2, 'epochs': 80, 'ticker': 'AAPL', 'perf': 1.0011492539708453}
{'rar': 0.1, 'alpha': 0.1, 'gamma': 0.2, 'epochs': 80, 'ticker': 'AMZN', 'perf': 0.9984138220801877}
{'rar': 0.1, 'alpha': 0.1, 'gamma': 0.2, 'epochs': 80, 'ticker': 'DJIA', 'perf': 0.9993157928229218}
{'rar': 0.1, 'alpha': 0.1, 'gamma': 0.2, 'epochs': 80, 'ticker': 'QQQ', 'perf': 1.0002527780111512}
{'rar': 0.1, 'alpha': 0.1, 'gamma': 0.2, 'epochs': 80, 'ticker': 'SPY', 'perf': 1.0006986582070903}
{'rar': 0.1, 'alpha': 0.1, 'gamma': 0.2, 'epochs': 80, 'ticker': 'VGT', 'perf': 0.9991055963941763}
{'rar': 0.1, 'alpha': 0.1, 'gamma': 0.2, 'epochs': 80, 'ticker': 'XLI', 'perf': 0.9976774410900444}
{'rar': 0.1, 'alpha': 0.1, 'gamma': 0.3, 'epochs': 20, 'ticker': 'AAPL', 'perf': 1.0013732184642574}
{'rar': 0.1, 'alpha': 0.1, 'gamma': 0.3, 'epochs': 20, 'ticker': 'AMZN', 'perf': 0.9988948447307774}
{'rar': 0.1, 'alpha': 0.1, 'gamma': 0.3, 'epochs': 20, 'ticker': 'DJIA', 'perf': 1.0005877198238682}
{'rar': 0.1, 'alpha': 0.1, 'gamma': 0.3, 'epochs': 20, 'ticker': 'QQQ', 'perf': 1.0021756702380262}
{'rar': 0.1, 'alpha': 0.1, 'gamma': 0.3, 'epochs': 20, 'ticker': 'SPY', 'perf': 1.0005204537683225}
{'rar': 0.1, 'alpha': 0.1, 'gamma': 0.3, 'epochs': 20, 'ticker': 'VGT', 'perf': 1.0014280153128823}
{'rar': 0.1, 'alpha': 0.1, 'gamma': 0.3, 'epochs': 20, 'ticker': 'XLI', 'perf': 1.0006873795129985}
{'rar': 0.1, 'alpha': 0.1, 'gamma': 0.3, 'epochs': 40, 'ticker': 'AAPL', 'perf': 1.0001352735345845}
{'rar': 0.1, 'alpha': 0.1, 'gamma': 0.3, 'epochs': 40, 'ticker': 'AMZN', 'perf': 0.9983487605199832}
{'rar': 0.1, 'alpha': 0.1, 'gamma': 0.3, 'epochs': 40, 'ticker': 'DJIA', 'perf': 0.9999950088982158}
{'rar': 0.1, 'alpha': 0.1, 'gamma': 0.3, 'epochs': 40, 'ticker': 'QQQ', 'perf': 1.0006472047437331}
{'rar': 0.1, 'alpha': 0.1, 'gamma': 0.3, 'epochs': 40, 'ticker': 'SPY', 'perf': 0.9999842286736874}
{'rar': 0.1, 'alpha': 0.1, 'gamma': 0.3, 'epochs': 40, 'ticker': 'VGT', 'perf': 0.9999184866570893}
{'rar': 0.1, 'alpha': 0.1, 'gamma': 0.3, 'epochs': 40, 'ticker': 'XLI', 'perf': 0.9989648318329002}
{'rar': 0.1, 'alpha': 0.1, 'gamma': 0.3, 'epochs': 60, 'ticker': 'AAPL', 'perf': 1.002084350803137}
{'rar': 0.1, 'alpha': 0.1, 'gamma': 0.3, 'epochs': 60, 'ticker': 'AMZN', 'perf': 0.9981454272290906}
{'rar': 0.1, 'alpha': 0.1, 'gamma': 0.3, 'epochs': 60, 'ticker': 'DJIA', 'perf': 1.0001195691129854}
{'rar': 0.1, 'alpha': 0.1, 'gamma': 0.3, 'epochs': 60, 'ticker': 'QQQ', 'perf': 1.000683322205075}
{'rar': 0.1, 'alpha': 0.1, 'gamma': 0.3, 'epochs': 60, 'ticker': 'SPY', 'perf': 1.0006744915743155}
{'rar': 0.1, 'alpha': 0.1, 'gamma': 0.3, 'epochs': 60, 'ticker': 'VGT', 'perf': 1.0000547699139912}
{'rar': 0.1, 'alpha': 0.1, 'gamma': 0.3, 'epochs': 60, 'ticker': 'XLI', 'perf': 0.9986256714518326}
{'rar': 0.1, 'alpha': 0.1, 'gamma': 0.3, 'epochs': 80, 'ticker': 'AAPL', 'perf': 1.000514683186569}
{'rar': 0.1, 'alpha': 0.1, 'gamma': 0.3, 'epochs': 80, 'ticker': 'AMZN', 'perf': 0.9969586585350326}
{'rar': 0.1, 'alpha': 0.1, 'gamma': 0.3, 'epochs': 80, 'ticker': 'DJIA', 'perf': 0.9998340701073692}
{'rar': 0.1, 'alpha': 0.1, 'gamma': 0.3, 'epochs': 80, 'ticker': 'QQQ', 'perf': 0.9989251783100671}
{'rar': 0.1, 'alpha': 0.1, 'gamma': 0.3, 'epochs': 80, 'ticker': 'SPY', 'perf': 1.0007433310788523}
{'rar': 0.1, 'alpha': 0.1, 'gamma': 0.3, 'epochs': 80, 'ticker': 'VGT', 'perf': 0.9996156155789206}
{'rar': 0.1, 'alpha': 0.1, 'gamma': 0.3, 'epochs': 80, 'ticker': 'XLI', 'perf': 1.0014631941455017}
{'rar': 0.1, 'alpha': 0.1, 'gamma': 0.4, 'epochs': 20, 'ticker': 'AAPL', 'perf': 1.001186680498279}
{'rar': 0.1, 'alpha': 0.1, 'gamma': 0.4, 'epochs': 20, 'ticker': 'AMZN', 'perf': 0.9942819673800944}
{'rar': 0.1, 'alpha': 0.1, 'gamma': 0.4, 'epochs': 20, 'ticker': 'DJIA', 'perf': 1.0009030496233446}
{'rar': 0.1, 'alpha': 0.1, 'gamma': 0.4, 'epochs': 20, 'ticker': 'QQQ', 'perf': 1.001148268192491}
{'rar': 0.1, 'alpha': 0.1, 'gamma': 0.4, 'epochs': 20, 'ticker': 'SPY', 'perf': 1.0013225319079386}
{'rar': 0.1, 'alpha': 0.1, 'gamma': 0.4, 'epochs': 20, 'ticker': 'VGT', 'perf': 0.9975872085411394}
{'rar': 0.1, 'alpha': 0.1, 'gamma': 0.4, 'epochs': 20, 'ticker': 'XLI', 'perf': 1.002175915701211}
{'rar': 0.1, 'alpha': 0.1, 'gamma': 0.4, 'epochs': 40, 'ticker': 'AAPL', 'perf': 1.003048916896119}
{'rar': 0.1, 'alpha': 0.1, 'gamma': 0.4, 'epochs': 40, 'ticker': 'AMZN', 'perf': 0.9973604868794641}
{'rar': 0.1, 'alpha': 0.1, 'gamma': 0.4, 'epochs': 40, 'ticker': 'DJIA', 'perf': 0.9998880245690936}
{'rar': 0.1, 'alpha': 0.1, 'gamma': 0.4, 'epochs': 40, 'ticker': 'QQQ', 'perf': 0.999815866390155}
{'rar': 0.1, 'alpha': 0.1, 'gamma': 0.4, 'epochs': 40, 'ticker': 'SPY', 'perf': 1.0000904102201809}
{'rar': 0.1, 'alpha': 0.1, 'gamma': 0.4, 'epochs': 40, 'ticker': 'VGT', 'perf': 1.0000271972991237}
{'rar': 0.1, 'alpha': 0.1, 'gamma': 0.4, 'epochs': 40, 'ticker': 'XLI', 'perf': 1.0004062774897526}
{'rar': 0.1, 'alpha': 0.1, 'gamma': 0.4, 'epochs': 60, 'ticker': 'AAPL', 'perf': 1.002011045781186}
{'rar': 0.1, 'alpha': 0.1, 'gamma': 0.4, 'epochs': 60, 'ticker': 'AMZN', 'perf': 0.9980653416686822}
{'rar': 0.1, 'alpha': 0.1, 'gamma': 0.4, 'epochs': 60, 'ticker': 'DJIA', 'perf': 1.0004968318742333}
{'rar': 0.1, 'alpha': 0.1, 'gamma': 0.4, 'epochs': 60, 'ticker': 'QQQ', 'perf': 1.0012441952500755}
{'rar': 0.1, 'alpha': 0.1, 'gamma': 0.4, 'epochs': 60, 'ticker': 'SPY', 'perf': 0.9998853879992304}
{'rar': 0.1, 'alpha': 0.1, 'gamma': 0.4, 'epochs': 60, 'ticker': 'VGT', 'perf': 0.9991249295191948}
{'rar': 0.1, 'alpha': 0.1, 'gamma': 0.4, 'epochs': 60, 'ticker': 'XLI', 'perf': 1.00165393325722}
{'rar': 0.1, 'alpha': 0.1, 'gamma': 0.4, 'epochs': 80, 'ticker': 'AAPL', 'perf': 1.0014903781259181}
{'rar': 0.1, 'alpha': 0.1, 'gamma': 0.4, 'epochs': 80, 'ticker': 'AMZN', 'perf': 0.9952908671903844}
{'rar': 0.1, 'alpha': 0.1, 'gamma': 0.4, 'epochs': 80, 'ticker': 'DJIA', 'perf': 1.0004348989124616}
{'rar': 0.1, 'alpha': 0.1, 'gamma': 0.4, 'epochs': 80, 'ticker': 'QQQ', 'perf': 1.0012987605626333}
{'rar': 0.1, 'alpha': 0.1, 'gamma': 0.4, 'epochs': 80, 'ticker': 'SPY', 'perf': 1.0000340230840803}
{'rar': 0.1, 'alpha': 0.1, 'gamma': 0.4, 'epochs': 80, 'ticker': 'VGT', 'perf': 0.9999867504813649}
{'rar': 0.1, 'alpha': 0.1, 'gamma': 0.4, 'epochs': 80, 'ticker': 'XLI', 'perf': 0.9997763199760432}
{'rar': 0.1, 'alpha': 0.1, 'gamma': 0.5, 'epochs': 20, 'ticker': 'AAPL', 'perf': 1.000867058897932}
{'rar': 0.1, 'alpha': 0.1, 'gamma': 0.5, 'epochs': 20, 'ticker': 'AMZN', 'perf': 0.9981952101450197}
{'rar': 0.1, 'alpha': 0.1, 'gamma': 0.5, 'epochs': 20, 'ticker': 'DJIA', 'perf': 0.9995905446461031}
{'rar': 0.1, 'alpha': 0.1, 'gamma': 0.5, 'epochs': 20, 'ticker': 'QQQ', 'perf': 0.9993973407148321}
{'rar': 0.1, 'alpha': 0.1, 'gamma': 0.5, 'epochs': 20, 'ticker': 'SPY', 'perf': 1.0003852250640066}
{'rar': 0.1, 'alpha': 0.1, 'gamma': 0.5, 'epochs': 20, 'ticker': 'VGT', 'perf': 1.0001967876463518}
{'rar': 0.1, 'alpha': 0.1, 'gamma': 0.5, 'epochs': 20, 'ticker': 'XLI', 'perf': 1.0022838907709295}
{'rar': 0.1, 'alpha': 0.1, 'gamma': 0.5, 'epochs': 40, 'ticker': 'AAPL', 'perf': 1.0000181138729243}
{'rar': 0.1, 'alpha': 0.1, 'gamma': 0.5, 'epochs': 40, 'ticker': 'AMZN', 'perf': 0.995981207267542}
{'rar': 0.1, 'alpha': 0.1, 'gamma': 0.5, 'epochs': 40, 'ticker': 'DJIA', 'perf': 1.000420502307366}
{'rar': 0.1, 'alpha': 0.1, 'gamma': 0.5, 'epochs': 40, 'ticker': 'QQQ', 'perf': 0.9983505445476691}
{'rar': 0.1, 'alpha': 0.1, 'gamma': 0.5, 'epochs': 40, 'ticker': 'SPY', 'perf': 1.000406911265326}
{'rar': 0.1, 'alpha': 0.1, 'gamma': 0.5, 'epochs': 40, 'ticker': 'VGT', 'perf': 0.9981122228991484}
{'rar': 0.1, 'alpha': 0.1, 'gamma': 0.5, 'epochs': 40, 'ticker': 'XLI', 'perf': 1.0011201594639618}
{'rar': 0.1, 'alpha': 0.1, 'gamma': 0.5, 'epochs': 60, 'ticker': 'AAPL', 'perf': 1.0019671911414767}
{'rar': 0.1, 'alpha': 0.1, 'gamma': 0.5, 'epochs': 60, 'ticker': 'AMZN', 'perf': 1.0049328376262079}
{'rar': 0.1, 'alpha': 0.1, 'gamma': 0.5, 'epochs': 60, 'ticker': 'DJIA', 'perf': 1.0001723186137979}
{'rar': 0.1, 'alpha': 0.1, 'gamma': 0.5, 'epochs': 60, 'ticker': 'QQQ', 'perf': 1.0000630817462666}
{'rar': 0.1, 'alpha': 0.1, 'gamma': 0.5, 'epochs': 60, 'ticker': 'SPY', 'perf': 1.0003664008989805}
{'rar': 0.1, 'alpha': 0.1, 'gamma': 0.5, 'epochs': 60, 'ticker': 'VGT', 'perf': 0.9993391038856531}
{'rar': 0.1, 'alpha': 0.1, 'gamma': 0.5, 'epochs': 60, 'ticker': 'XLI', 'perf': 1.0017743734675926}
{'rar': 0.1, 'alpha': 0.1, 'gamma': 0.5, 'epochs': 80, 'ticker': 'AAPL', 'perf': 1.0030193343647265}
{'rar': 0.1, 'alpha': 0.1, 'gamma': 0.5, 'epochs': 80, 'ticker': 'AMZN', 'perf': 1.001815739550044}
{'rar': 0.1, 'alpha': 0.1, 'gamma': 0.5, 'epochs': 80, 'ticker': 'DJIA', 'perf': 1.0005369446426964}
{'rar': 0.1, 'alpha': 0.1, 'gamma': 0.5, 'epochs': 80, 'ticker': 'QQQ', 'perf': 1.0012031695636983}
{'rar': 0.1, 'alpha': 0.1, 'gamma': 0.5, 'epochs': 80, 'ticker': 'SPY', 'perf': 1.0008498038500917}
{'rar': 0.1, 'alpha': 0.1, 'gamma': 0.5, 'epochs': 80, 'ticker': 'VGT', 'perf': 0.9986105985675164}
{'rar': 0.1, 'alpha': 0.1, 'gamma': 0.5, 'epochs': 80, 'ticker': 'XLI', 'perf': 0.9996357783226335}
{'rar': 0.1, 'alpha': 0.1, 'gamma': 0.6, 'epochs': 20, 'ticker': 'AAPL', 'perf': 0.9999091852155313}
{'rar': 0.1, 'alpha': 0.1, 'gamma': 0.6, 'epochs': 20, 'ticker': 'AMZN', 'perf': 1.0026770731210448}
{'rar': 0.1, 'alpha': 0.1, 'gamma': 0.6, 'epochs': 20, 'ticker': 'DJIA', 'perf': 1.0003193188554556}
{'rar': 0.1, 'alpha': 0.1, 'gamma': 0.6, 'epochs': 20, 'ticker': 'QQQ', 'perf': 1.000667483230231}
{'rar': 0.1, 'alpha': 0.1, 'gamma': 0.6, 'epochs': 20, 'ticker': 'SPY', 'perf': 0.9995905731554047}
{'rar': 0.1, 'alpha': 0.1, 'gamma': 0.6, 'epochs': 20, 'ticker': 'VGT', 'perf': 1.0005330967389423}
{'rar': 0.1, 'alpha': 0.1, 'gamma': 0.6, 'epochs': 20, 'ticker': 'XLI', 'perf': 1.0003495479982776}
{'rar': 0.1, 'alpha': 0.1, 'gamma': 0.6, 'epochs': 40, 'ticker': 'AAPL', 'perf': 0.9992037919254982}
{'rar': 0.1, 'alpha': 0.1, 'gamma': 0.6, 'epochs': 40, 'ticker': 'AMZN', 'perf': 0.9958589781133423}
{'rar': 0.1, 'alpha': 0.1, 'gamma': 0.6, 'epochs': 40, 'ticker': 'DJIA', 'perf': 1.0009172564529167}
{'rar': 0.1, 'alpha': 0.1, 'gamma': 0.6, 'epochs': 40, 'ticker': 'QQQ', 'perf': 1.0007000278574938}
{'rar': 0.1, 'alpha': 0.1, 'gamma': 0.6, 'epochs': 40, 'ticker': 'SPY', 'perf': 0.9993590796092965}
{'rar': 0.1, 'alpha': 0.1, 'gamma': 0.6, 'epochs': 40, 'ticker': 'VGT', 'perf': 0.998544368430884}
{'rar': 0.1, 'alpha': 0.1, 'gamma': 0.6, 'epochs': 40, 'ticker': 'XLI', 'perf': 1.0006552434071385}
{'rar': 0.1, 'alpha': 0.1, 'gamma': 0.6, 'epochs': 60, 'ticker': 'AAPL', 'perf': 0.998570023475353}
{'rar': 0.1, 'alpha': 0.1, 'gamma': 0.6, 'epochs': 60, 'ticker': 'AMZN', 'perf': 1.002247743216919}
{'rar': 0.1, 'alpha': 0.1, 'gamma': 0.6, 'epochs': 60, 'ticker': 'DJIA', 'perf': 1.0008681089170237}
{'rar': 0.1, 'alpha': 0.1, 'gamma': 0.6, 'epochs': 60, 'ticker': 'QQQ', 'perf': 1.0005278685480055}
{'rar': 0.1, 'alpha': 0.1, 'gamma': 0.6, 'epochs': 60, 'ticker': 'SPY', 'perf': 1.0006941793713457}
{'rar': 0.1, 'alpha': 0.1, 'gamma': 0.6, 'epochs': 60, 'ticker': 'VGT', 'perf': 0.9996571708873683}
{'rar': 0.1, 'alpha': 0.1, 'gamma': 0.6, 'epochs': 60, 'ticker': 'XLI', 'perf': 1.0006540829886383}
{'rar': 0.1, 'alpha': 0.1, 'gamma': 0.6, 'epochs': 80, 'ticker': 'AAPL', 'perf': 1.003048916896119}
{'rar': 0.1, 'alpha': 0.1, 'gamma': 0.6, 'epochs': 80, 'ticker': 'AMZN', 'perf': 1.0002536254949645}
{'rar': 0.1, 'alpha': 0.1, 'gamma': 0.6, 'epochs': 80, 'ticker': 'DJIA', 'perf': 0.9998535355429318}
{'rar': 0.1, 'alpha': 0.1, 'gamma': 0.6, 'epochs': 80, 'ticker': 'QQQ', 'perf': 1.0003331402470037}
{'rar': 0.1, 'alpha': 0.1, 'gamma': 0.6, 'epochs': 80, 'ticker': 'SPY', 'perf': 0.9995688869540853}
{'rar': 0.1, 'alpha': 0.1, 'gamma': 0.6, 'epochs': 80, 'ticker': 'VGT', 'perf': 1.0010586086085211}
{'rar': 0.1, 'alpha': 0.1, 'gamma': 0.6, 'epochs': 80, 'ticker': 'XLI', 'perf': 1.000563121151434}
{'rar': 0.1, 'alpha': 0.1, 'gamma': 0.7, 'epochs': 20, 'ticker': 'AAPL', 'perf': 1.0021721639140313}
{'rar': 0.1, 'alpha': 0.1, 'gamma': 0.7, 'epochs': 20, 'ticker': 'AMZN', 'perf': 0.9990842999197873}
{'rar': 0.1, 'alpha': 0.1, 'gamma': 0.7, 'epochs': 20, 'ticker': 'DJIA', 'perf': 1.0009582450273768}
{'rar': 0.1, 'alpha': 0.1, 'gamma': 0.7, 'epochs': 20, 'ticker': 'QQQ', 'perf': 1.0000203138610926}
{'rar': 0.1, 'alpha': 0.1, 'gamma': 0.7, 'epochs': 20, 'ticker': 'DJIA', 'perf': 0.9993563707992162}
{'rar': 0.1, 'alpha': 0.1, 'gamma': 0.7, 'epochs': 20, 'ticker': 'QQQ', 'perf': 1.0009537698263546}
{'rar': 0.1, 'alpha': 0.1, 'gamma': 0.7, 'epochs': 20, 'ticker': 'SPY', 'perf': 1.000401568797578}
{'rar': 0.1, 'alpha': 0.1, 'gamma': 0.7, 'epochs': 20, 'ticker': 'VGT', 'perf': 0.9986403619789433}
{'rar': 0.1, 'alpha': 0.1, 'gamma': 0.7, 'epochs': 20, 'ticker': 'XLI', 'perf': 0.9997957101948377}
{'rar': 0.1, 'alpha': 0.1, 'gamma': 0.7, 'epochs': 40, 'ticker': 'AAPL', 'perf': 1.0038188650464552}
{'rar': 0.1, 'alpha': 0.1, 'gamma': 0.7, 'epochs': 40, 'ticker': 'AMZN', 'perf': 0.9973604868794641}
{'rar': 0.1, 'alpha': 0.1, 'gamma': 0.7, 'epochs': 40, 'ticker': 'DJIA', 'perf': 0.9999533625683368}
{'rar': 0.1, 'alpha': 0.1, 'gamma': 0.7, 'epochs': 40, 'ticker': 'QQQ', 'perf': 1.0002527514802053}
{'rar': 0.1, 'alpha': 0.1, 'gamma': 0.7, 'epochs': 40, 'ticker': 'SPY', 'perf': 1.0006334590118735}
{'rar': 0.1, 'alpha': 0.1, 'gamma': 0.7, 'epochs': 40, 'ticker': 'VGT', 'perf': 1.0001569518077125}
{'rar': 0.1, 'alpha': 0.1, 'gamma': 0.7, 'epochs': 40, 'ticker': 'XLI', 'perf': 1.0015459581875015}
{'rar': 0.1, 'alpha': 0.1, 'gamma': 0.7, 'epochs': 60, 'ticker': 'AAPL', 'perf': 0.9975467642808392}
{'rar': 0.1, 'alpha': 0.1, 'gamma': 0.7, 'epochs': 60, 'ticker': 'AMZN', 'perf': 0.9982439744846637}
{'rar': 0.1, 'alpha': 0.1, 'gamma': 0.7, 'epochs': 60, 'ticker': 'DJIA', 'perf': 1.0004237000498681}
{'rar': 0.1, 'alpha': 0.1, 'gamma': 0.7, 'epochs': 60, 'ticker': 'QQQ', 'perf': 0.9992733969781246}
{'rar': 0.1, 'alpha': 0.1, 'gamma': 0.7, 'epochs': 60, 'ticker': 'SPY', 'perf': 1.0005864161732159}
{'rar': 0.1, 'alpha': 0.1, 'gamma': 0.7, 'epochs': 60, 'ticker': 'VGT', 'perf': 0.9987004735961015}
{'rar': 0.1, 'alpha': 0.1, 'gamma': 0.7, 'epochs': 60, 'ticker': 'XLI', 'perf': 0.9996177169701844}
{'rar': 0.1, 'alpha': 0.1, 'gamma': 0.7, 'epochs': 80, 'ticker': 'AAPL', 'perf': 1.002055004252371}
{'rar': 0.1, 'alpha': 0.1, 'gamma': 0.7, 'epochs': 80, 'ticker': 'AMZN', 'perf': 0.9966635260564551}
{'rar': 0.1, 'alpha': 0.1, 'gamma': 0.7, 'epochs': 80, 'ticker': 'DJIA', 'perf': 1.0009172564529167}
{'rar': 0.1, 'alpha': 0.1, 'gamma': 0.7, 'epochs': 80, 'ticker': 'QQQ', 'perf': 0.9998046703308848}
{'rar': 0.1, 'alpha': 0.1, 'gamma': 0.7, 'epochs': 80, 'ticker': 'SPY', 'perf': 0.9999352778108329}
{'rar': 0.1, 'alpha': 0.1, 'gamma': 0.7, 'epochs': 80, 'ticker': 'VGT', 'perf': 1.000403324773806}
{'rar': 0.1, 'alpha': 0.1, 'gamma': 0.7, 'epochs': 80, 'ticker': 'XLI', 'perf': 1.001690055962118}
{'rar': 0.1, 'alpha': 0.1, 'gamma': 0.8, 'epochs': 20, 'ticker': 'AAPL', 'perf': 1.0014314490437586}
{'rar': 0.1, 'alpha': 0.1, 'gamma': 0.8, 'epochs': 20, 'ticker': 'AMZN', 'perf': 1.004351103245439}
{'rar': 0.1, 'alpha': 0.1, 'gamma': 0.8, 'epochs': 20, 'ticker': 'DJIA', 'perf': 1.0003363036815522}
